model,horizon,MAE,RMSE,sMAPE,MASE
AutoETS,7,177.4488,217.7076,1.9166,1.6379
AutoETS,14,253.907,323.4847,3.0015,2.0545
AutoTheta,7,134.0999,151.5355,1.7772,0.9908
AutoTheta,14,212.0122,259.0001,2.8671,1.4392
CatBoost_all_features,7,128.1022,145.7492,1.6864,0.9612
CatBoost_all_features,14,203.1517,249.842,2.7463,1.3889
CatBoost_lags_calendar,7,126.2427,143.9554,1.6802,0.9532
CatBoost_lags_calendar,14,201.1339,247.9316,2.7496,1.379
CatBoost_lags_fourier,7,131.2193,148.798,1.7368,0.9785
CatBoost_lags_fourier,14,207.6785,254.4109,2.808,1.4141
CatBoost_lags_only,7,131.4416,149.0037,1.7422,0.9798
CatBoost_lags_only,14,207.8718,254.5462,2.8141,1.4152
CatBoost_lags_seasonal,7,131.1085,148.7481,1.7372,0.9786
CatBoost_lags_seasonal,14,206.8846,253.607,2.8005,1.4108
CatBoost_lags_seasonal_calendar,7,127.4793,145.0702,1.683,0.9584
CatBoost_lags_seasonal_calendar,14,201.8779,248.4792,2.7405,1.3822
CatBoost_lags_seasonal_fourier,7,130.7557,148.356,1.7293,0.9814
CatBoost_lags_seasonal_fourier,14,205.1919,251.8727,2.7813,1.4032
Naive,7,134.279,151.9577,1.778,0.9953
Naive,14,213.6011,260.6915,2.8856,1.4488
SeasonalNaive,7,191.7741,212.6934,2.5109,1.3517
SeasonalNaive,14,262.0794,309.1021,3.5054,1.7538
