series_id,seasonality_strength,length
T1321,0.9855413172672572,4211
T2316,0.9445708282737718,1317
T2394,0.9861119375223296,4210
T2998,0.9567561936149641,1318
T3564,0.9551428108336908,1273
T1487,0.9914996760763503,4211
T1310,0.9870453035681932,4209
T681,0.9940521375701602,4211
T2614,0.9913426358251989,4211
T2194,0.9664462666556688,7856
T1388,0.9916375250015166,4211
T1540,0.9901854328675375,4211
T3573,0.9909406137500104,4211
T3295,0.9870327214863361,4211
T2757,0.9296068130910846,1444
T3139,0.9763289142465224,4211
T3604,0.9863441669952303,4329
T2255,0.9906814021884256,4210
T3245,0.9897138712829331,4211
T2426,0.8404422151024947,1064
T1317,0.9871853456755911,4211
T991,0.9412483512092515,1066
T3448,0.9918840919112695,4211
T2682,0.9896869164309356,4211
T1297,0.992225993260858,4211
T1104,0.9872807888622561,4211
T3300,0.9857555146310673,4211
T2762,0.9910089008443232,4211
T578,0.967263386538526,1115
T2943,0.9901732182311477,4211
T1590,0.9894955138108565,4211
T2863,0.9940733736107484,4211
T988,0.9843675547513313,4087
T1439,0.9888638008513436,4211
T2025,0.9925239805466876,4211
T2531,0.9588530527407483,3208
T726,0.992252809881977,4211
T507,0.9825207264540511,4210
T3622,0.8980760193261496,1001
T943,0.9848839931992289,4211
T3130,0.9917610355503985,4211
T2700,0.9916197815119512,4211
T2701,0.98243995367443,4211
T1510,0.9605669847160367,2201
T3115,0.9123346074488864,1318
T1529,0.9880596016483135,4211
T1229,0.9924984169040324,4211
T3036,0.9920928026579291,2074
T562,0.9811050424751666,2954
T1689,0.9410332665498291,714
T3621,0.932605933025207,1162
T1583,0.9909471043512691,4211
T2717,0.9900228500638971,4211
T782,0.9782571802814759,4211
T1472,0.9751398722763266,3208
T30,0.9479964712367461,863
T3064,0.9805762512277086,1822
T3118,0.982747966765492,4211
T3010,0.9788156464417721,2074
T777,0.9870489075657523,4211
T2993,0.9923676123917884,4211
T2663,0.9946132647734681,4211
T3043,0.9931707928420241,4211
T1582,0.991856878906407,4211
T3526,0.9882638280771082,4211
T2423,0.9947686328434874,4210
T2895,0.9905645908098547,4211
T2894,0.9820599858334874,4211
T3401,0.9864263890272276,4211
T589,0.9829974754318335,2579
T3056,0.9892632936034444,3208
T607,0.9616401869002167,1444
T2732,0.987085015074015,4211
T2698,0.99133707936169,4211
T594,0.9548617765057353,1444
T953,0.987041814228793,3712
T2937,0.9798309941631791,4211
T2036,0.9926066790683152,3009
T448,0.9861766762242584,4569
T2257,0.9804243066664171,4208
T693,0.9935422203472173,4211
T723,0.9896556489333471,4211
T871,0.9933697571257217,4211
T570,0.9885309591858066,2954
T2968,0.9894231674209679,4211
T1707,0.8789197260834398,1330
T2549,0.9889205186960606,4211
T1598,0.9920069220158335,4209
T3224,0.9763859535479923,4211
T3312,0.9890195702344717,4211
T3006,0.9810816887185236,3585
T2932,0.9709139950962835,1822
T1515,0.9827781727864349,3333
T934,0.9917286485667808,4211
T2572,0.9741155104968089,2224
T657,0.9781953922059554,1201
T1333,0.985720969344191,4211
T2677,0.9944087681597363,4211
T3119,0.9913404971990372,4209
T3144,0.9895972657438667,4211
T2722,0.9932942714897294,4211
T3220,0.9833305130052408,4211
T2803,0.992997662232929,3965
T514,0.967522934912835,3207
T592,0.9656837149076389,1444
T886,0.9909266137974043,3965
T1075,0.9896287532756126,3965
T1214,0.9828554829563935,4211
T550,0.9814591251284098,4210
T1634,0.9666579180431785,1259
T2343,0.9924907362654103,3584
T1402,0.9844934403597341,1822
T2411,0.9800227799756501,2704
T1013,0.9878931385284161,4089
T862,0.9872685504274568,3208
T3210,0.9840614762896622,4211
T1517,0.9580746410682769,2201
T2857,0.9570222553073046,2074
T1465,0.974659853200543,3208
T2389,0.9861918935360825,4210
T3335,0.9919339785710739,4211
T3055,0.9880542996164016,3208
T1524,0.9796490717378195,3333
T2945,0.991341696008157,4211
T756,0.9838351731020025,4211
T1185,0.9905527575654054,4211
T3047,0.9947165591557863,3965
T2600,0.9835247287046535,3965
T3428,0.9906734232872607,4211
T2870,0.9876559670165995,4211
T2585,0.9776145302707181,2074
T526,0.9858622222921394,2073
T824,0.9707549564130614,3712
T256,0.7210170867356794,779
T2792,0.9954889068020571,4211
T160,0.9904826876104095,4425
T463,0.9884453007906575,4210
T2334,0.9922422882343257,3584
T3147,0.981935387051658,3585
T1541,0.9909768689799645,4211
T1096,0.9855292737565634,4211
T852,0.978501444665267,3208
T2676,0.9915102604450652,4211
T3080,0.9820724245012051,2074
T1122,0.9928648332397148,4211
T3457,0.9844462133649299,3585
T1282,0.9932291110652949,4209
T1177,0.976576459267932,4211
T2884,0.9646829732926611,3208
T2450,0.9867018068660204,4209
